lineage,collection_date,subm_date,region,country,province,variant,date_2weeks
DENV-2 Genotype VI,1999-01-01,,,Senegal,,DENV-2,1999-01-01
DENV-2 Genotype VI,1981-01-01,,,Guinea,,DENV-2,1981-01-01
DENV-1 Genotype V,2004-01-01,,,Reunion,,DENV-1,2004-01-01
DENV-2 Genotype VI,1974-01-01,,,Senegal,,DENV-2,1974-01-01
DENV-2 Genotype VI,1966-01-01,,,Nigeria,,DENV-2,1966-01-01
DENV-1 Genotype IV,2004-01-01,,,Reunion,,DENV-1,2004-01-01
DENV-1 Genotype I,,,,Djibouti,,DENV-1,
DENV-1 Genotype IV,2004-01-01,,,Reunion,,DENV-1,2004-01-01
DENV-2 Genotype VI,1966-01-01,,,Nigeria,,DENV-2,1966-01-01
DENV-1 Genotype IV,2004-01-01,,,Seychelles,,DENV-1,2004-01-01
DENV-2 Genotype VI,1999-01-01,,,Senegal,,DENV-2,1999-01-01
DENV-2 Genotype VI,1966-08-18,,,Nigeria,,DENV-2,1966-08-18
DENV-2 Genotype VI,1999-01-01,,,Senegal,,DENV-2,1999-01-01
DENV-1,1993-01-01,,,Comoros,,DENV-1,1993-01-01
DENV-2 Genotype VI,1970-01-01,,,Senegal,,DENV-2,1970-01-01
DENV-3 Genotype III,1985-01-01,,,Mozambique,,DENV-3,1985-01-01
DENV-1 Genotype IV,2004-05-01,,,Reunion,,DENV-1,2004-05-01
DENV-2,2010-01-01,,,Gabon,,DENV-2,2010-01-01
DENV-2,2007-01-01,,,Gabon,,DENV-2,2007-01-01
DENV-2,2010-01-01,,,Gabon,,DENV-2,2010-01-01
DENV-1 Genotype I,2011-01-01,,,Somalia,,DENV-1,2011-01-01
DENV-3 Genotype III,2011-01-01,,,Somalia,,DENV-3,2011-01-01
DENV-2,2011-01-01,,,Somalia,,DENV-2,2011-01-01
DENV-3 Genotype III,2011-01-01,,,Somalia,,DENV-3,2011-01-01
DENV-1 Genotype I,2011-01-01,,,Somalia,,DENV-1,2011-01-01
DENV-1 Genotype I,2011-01-01,,,Somalia,,DENV-1,2011-01-01
DENV-2,2011-01-01,,,Somalia,,DENV-2,2011-01-01
DENV-1 Genotype I,2011-01-01,,,Somalia,,DENV-1,2011-01-01
DENV-2,2011-01-01,,,Somalia,,DENV-2,2011-01-01
DENV-3 Genotype III,2011-01-01,,,Somalia,,DENV-3,2011-01-01
DENV-3 Genotype III,2011-01-01,,,Somalia,,DENV-3,2011-01-01
DENV-2,2011-01-01,,,Somalia,,DENV-2,2011-01-01
