variant,collection_date,subm_date,region,country,province ,lineages,date_2weeks
DENV-1 Genotype IV,2005/01/01,2016-07-24T00:00:00Z,Africa,Madagascar,,DENV-1,2005/01/01
DENV-1 Genotype V,2007/01/01,2016-07-24T00:00:00Z,Africa,Nigeria,,DENV-1,2007/01/01
DENV-1 Genotype IV,2004/05/01,2008-12-01T00:00:00Z,Africa,Reunion,,DENV-1,2004/05/01
DENV-1 Genotype I,,2001-06-08T00:00:00Z,Africa,Djibouti,,DENV-1,
DENV-1 Genotype I,2010/01/01,2021-11-18T00:00:00Z,Africa,Gambia,,DENV-1,2010/01/01
DENV-1 Genotype I,2013/01/01,2021-11-18T00:00:00Z,Africa,Kenya,,DENV-1,2013/01/01
DENV-1,2015/01/01,2021-11-18T00:00:00Z,Africa,Eritrea,,DENV-1,2015/01/01
DENV-1,2016/01/01,2021-11-18T00:00:00Z,Africa,Kenya,,DENV-1,2016/01/01
DENV-1 Genotype I,2011/01/01,2021-11-18T00:00:00Z,Africa,Somalia,,DENV-1,2011/01/01
DENV-1 Genotype V,1988/01/01,2022-01-04T00:00:00Z,Africa,Angola,,DENV-1,1988/01/01
DENV-1,2016/04/01,2022-11-28T00:00:00Z,Africa,Seychelles,,DENV-1,2016/04/01
DENV-1,2016/04/01,2022-11-28T00:00:00Z,Africa,Seychelles,,DENV-1,2016/04/01
DENV-1,2016/04/01,2022-11-28T00:00:00Z,Africa,Seychelles,,DENV-1,2016/04/01
DENV-1,2016/04/01,2022-11-28T00:00:00Z,Africa,Seychelles,,DENV-1,2016/04/01
DENV-1 Genotype I,2019/04/01,2022-11-28T00:00:00Z,Africa,Reunion,,DENV-1,2019/04/01
DENV-1 Genotype I,2019/04/01,2022-11-28T00:00:00Z,Africa,Reunion,,DENV-1,2019/04/01
DENV-1 Genotype I,2020/02/01,2022-11-28T00:00:00Z,Africa,Reunion,,DENV-1,2020/02/01
DENV-1 Genotype I,2019/04/01,2022-11-28T00:00:00Z,Africa,Reunion,,DENV-1,2019/04/01
DENV-1 Genotype I,2021/01/01,2022-11-28T00:00:00Z,Africa,Reunion,,DENV-1,2021/01/01
DENV-1 Genotype I,2021/01/01,2022-11-28T00:00:00Z,Africa,Reunion,,DENV-1,2021/01/01
DENV-1 Genotype I,2020/01/01,2022-11-28T00:00:00Z,Africa,Reunion,,DENV-1,2020/01/01
DENV-1 Genotype I,2020/01/01,2022-11-28T00:00:00Z,Africa,Reunion,,DENV-1,2020/01/01
DENV-1 Genotype I,2020/01/01,2022-11-28T00:00:00Z,Africa,Reunion,,DENV-1,2020/01/01
DENV-1 Genotype I,2020/01/01,2022-11-28T00:00:00Z,Africa,Reunion,,DENV-1,2020/01/01
DENV-1,2016/07/25,2023-05-01T00:00:00Z,Africa,Seychelles,,DENV-1,2016/07/25
DENV-1,2020/01/08,2023-05-01T00:00:00Z,Africa,Tanzania,,DENV-1,2020/01/08
DENV-1,2020/01/12,2023-05-01T00:00:00Z,Africa,Djibouti,,DENV-1,2020/01/12
DENV-1,2020/01/31,2023-05-01T00:00:00Z,Africa,Tanzania,,DENV-1,2020/01/31
DENV-1,2019/06/18,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/18
DENV-1,2019/01/07,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/01/07
