,lineage,collection_date,subm_date,region,country,province,variant,date_2weeks
0,Dengue virus 2,2021-09-02,2021-12-07,Africa ,Nigeria,,DENV 2,2021-12-07
1,Dengue virus 1,2021-09-03,2021-12-07,Africa ,Angola,,DENV 1,2021-12-07
2,Dengue virus 4,2021-11-10,2021-11-26,Africa ,Angola,,DENV 4,2021-11-26
3,Dengue virus 2,2021-08-24,2021-12-07,Africa ,Ethiopia,,DENV 2,2021-12-07
4,Dengue virus,2021-09-02,2021-12-07,Africa ,Cameroon,,DENV,2021-12-07
5,Dengue virus,2021-08-23,2021-12-07,Africa ,Cameroon,,DENV,2021-12-07
6,Dengue virus,2021-09-02,2021-12-07,Africa ,Cameroon,,DENV,2021-12-07
7,Dengue virus,2021-09-01,2021-12-07,Africa ,Cameroon,,DENV,2021-12-07
8,Dengue virus,2021-09-02,2021-12-07,Africa ,Cameroon,,DENV,2021-12-07
9,Dengue virus 2,2020-09-07,2021-06-07,Africa ,Cote dIvoire,,DENV 2,2021-06-07
10,Dengue virus 2,2021-09-02,2021-12-07,Africa ,Cote dIvoire,,DENV 2,2021-12-07
11,Dengue virus 2,2021-08-31,2021-12-07,Africa ,Cote dIvoire,,DENV 2,2021-12-07
12,Dengue virus 2,2021-08-26,2021-12-07,Africa ,Cote dIvoire,,DENV 2,2021-12-07
13,Dengue virus 2,2021-08-25,2021-12-07,Africa ,Cote dIvoire,,DENV 2,2021-12-07
14,Dengue virus 2,2021-08-23,2021-12-07,Africa ,Angola,,DENV 2,2021-12-07
15,Dengue virus 2,2021-08-23,2021-12-07,Africa ,Angola,,DENV 2,2021-12-07
16,Dengue virus 2,2021-07-20,2021-09-01,Africa ,Angola,,DENV 2,2021-09-01
17,Dengue virus 2,2021-07-19,2021-09-01,Africa ,Angola,,DENV 2,2021-09-01
18,Dengue virus 2,2021-08-18,2021-12-07,Africa ,Angola,,DENV 2,2021-12-07
19,Dengue virus 2,2021-07-19,2021-09-01,Africa ,Angola,,DENV 2,2021-09-01
20,Dengue virus 2,2020-05-28,2021-06-07,Africa ,Angola,,DENV 2,2021-06-07
21,Dengue virus 2,2021-07-30,2021-09-01,Africa ,Angola,,DENV 2,2021-09-01
22,Dengue virus 2,2020-04-16,2021-06-07,Africa ,Angola,,DENV 2,2021-06-07
23,Dengue virus 2,2020-09-07,2021-06-07,Africa ,Angola,,DENV 2,2021-06-07
24,Dengue virus 2,2020-09-07,2021-06-07,Africa ,Angola,,DENV 2,2021-06-07
25,Dengue virus 2,2020-09-07,2021-06-07,Africa ,Angola,,DENV 2,2021-06-07
26,Dengue virus 2,2020-09-07,2021-06-07,Africa ,Angola,,DENV 2,2021-06-07
27,Dengue virus 2,2020-09-07,2021-06-07,Africa ,Angola,,DENV 2,2021-06-07
28,Dengue virus 2,2020-09-09,2021-06-07,Africa ,Angola,,DENV 2,2021-06-07
29,Dengue virus 2,2020-08-27,2021-06-07,Africa ,Angola,,DENV 2,2021-06-07
30,Dengue virus 2,2020-08-28,2021-06-07,Africa ,Angola,,DENV 2,2021-06-07
31,Dengue virus 2,2020-09-09,2021-06-07,Africa ,Angola,,DENV 2,2021-06-07
32,Dengue virus 2,2021-07-19,2021-09-01,Africa ,Angola,,DENV 2,2021-09-01
33,Dengue virus 2,2021-07-19,2021-09-01,Africa ,Angola,,DENV 2,2021-09-01
34,Dengue virus 2,2021-08-25,2021-12-07,Africa ,Angola,,DENV 2,2021-12-07
35,Dengue virus 2,2020-04-18,2021-06-07,Africa ,Angola,,DENV 2,2021-06-07
36,Dengue virus 2,2020-05-08,2021-06-07,Africa ,Angola,,DENV 2,2021-06-07
37,Dengue virus 1,2020-05-28,2021-06-07,Africa ,Cameroon,,DENV 1,2021-06-07
38,Dengue virus 2,2020-04-21,2021-06-07,Africa ,Angola,,DENV 2,2021-06-07
39,Dengue virus 2,2020-09-02,2021-06-07,Africa ,Angola,,DENV 2,2021-06-07
40,Dengue virus 1,2020-09-01,2021-06-07,Africa ,Cameroon,,DENV 1,2021-06-07
41,Dengue virus,2020-09-02,2021-06-07,Africa ,Nigeria,,DENV,2021-06-07
